Date,ECH,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,ERUS,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FXI,THD,TUR
4/11/2011,64.425194,27.073767,19.390036,50.380611,21.088127,23.283398,30.115366,36.238712,48.712357,18.60006,28.393572,24.852631,22.418425,15.089013,31.239555,35.48856,11.50141,21.412817,41.94397,19.706789,19.270227,30.721931,22.261347,20.914873,25.081654,27.688478,55.714767,56.923401,63.197041,58.846355,37.815422,56.021324,56.566036
4/12/2011,63.198887,26.735004,19.390036,50.507561,21.115797,23.039396,30.115366,34.851753,47.410469,18.243143,27.855307,24.354687,22.242756,14.948575,30.898933,35.560184,11.446492,21.421103,41.546398,19.480373,19.074505,30.645323,22.107653,20.809315,24.589855,27.166899,54.880486,55.889389,61.755444,57.895947,37.375614,56.290001,56.798592
4/13/2011,63.925915,27.064846,19.574541,50.524487,21.261095,23.067553,30.281965,33.896107,47.549957,18.384562,27.897356,24.614805,22.359867,15.081212,30.898933,35.703419,11.48572,21.421103,41.830372,19.522306,19.139748,30.436378,22.083382,21.035503,24.835754,27.271215,55.123817,57.259224,61.425224,57.294014,37.740742,56.802902,57.172306
4/14/2011,64.644173,26.940042,19.899605,50.761456,21.413307,23.330317,30.551712,33.490154,46.930008,18.424969,27.914181,24.815472,22.443518,15.198237,30.850285,35.954094,11.509256,21.595121,41.745182,19.539072,19.164211,30.276186,22.099564,21.216457,24.917723,27.34572,54.871788,57.913216,61.610493,57.048489,37.79882,57.177422,57.288582
4/15/2011,64.836868,27.252058,19.688757,50.879936,21.67621,23.405399,30.51997,34.555763,47.084995,18.337418,27.846899,24.748585,22.351501,15.260654,30.623198,35.918282,11.5171,21.719421,41.659988,19.379742,19.058197,29.969727,21.978224,21.2617,24.704607,27.360626,55.089054,57.99276,62.101746,56.98513,37.997982,57.315819,57.919769
4/18/2011,63.531723,26.743921,19.486679,50.219822,21.219585,22.964315,29.401356,33.549362,45.194157,18.09499,27.552536,23.975653,21.657196,15.120217,29.552675,35.810856,11.313119,21.305084,41.489605,18.859818,18.495504,29.12002,21.266378,20.899792,24.327564,26.868855,53.637741,56.958744,60.901764,55.337746,37.251133,56.916893,55.527908
4/19/2011,64.617889,27.207487,19.679964,50.194424,21.240339,23.180166,29.829765,33.921482,46.294567,18.121925,27.846899,24.555351,21.841234,15.09681,29.860861,35.918282,11.477875,21.487396,41.773579,18.985607,18.666756,29.308065,21.509056,21.141064,24.475101,26.988073,54.324291,57.709953,61.731285,56.288147,37.209648,58.081104,56.798592
4/20/2011,65.520119,27.947401,19.925966,50.812233,21.70389,23.377245,30.583439,33.430962,47.33297,18.660666,28.242189,25.447193,22.727928,15.151428,30.542093,36.455448,11.658318,22.100609,42.199543,19.513914,19.24576,29.969727,22.245165,21.427565,25.212797,27.673574,55.10643,59.698421,62.850735,57.682106,38.163956,58.78941,57.404854
4/21/2011,66.212097,28.000889,20.040178,50.490635,21.911449,23.489855,30.718313,33.676212,47.797939,18.882898,28.460859,25.566103,22.911961,15.237248,30.866495,36.598686,11.721083,22.249771,42.17115,19.455219,19.408861,30.19957,22.398865,21.683912,25.573448,27.897108,55.401909,60.414276,63.301716,58.759232,38.47929,58.773148,57.845024
4/25/2011,66.33474,27.724535,20.163181,50.634506,21.800753,23.593092,30.757975,33.092674,47.503464,18.903099,28.275827,25.618128,22.945423,15.09681,30.99626,36.562881,11.713238,22.357498,42.14275,19.530689,19.408861,30.352797,22.431217,21.593435,25.458694,27.807697,55.097748,60.30822,62.955429,58.37114,38.064373,57.991573,57.753674
4/26/2011,67.385872,27.688875,20.426754,50.321384,22.112091,23.715096,31.091173,32.263882,47.518955,19.004114,28.359934,25.86338,23.280025,15.104616,31.385527,36.598686,11.901526,22.639244,42.51194,19.631317,19.498566,30.708008,22.690073,21.729149,25.655415,28.046129,55.540955,60.511494,63.486977,59.186928,38.180546,57.918285,57.712135
4/27/2011,67.692444,27.813677,20.602465,50.338303,22.202038,23.724478,31.45612,33.016567,47.658447,19.044521,28.368347,26.413353,23.781929,15.034395,32.32629,36.670303,12.105509,22.738686,42.739117,19.941593,19.97971,31.4811,23.183512,21.744228,26.081638,28.433596,55.601788,60.414276,62.729923,59.963089,37.815422,58.178818,57.355019
4/28/2011,67.631119,27.893913,20.602465,49.813599,22.098253,23.396015,31.376785,34.437351,47.565453,19.091663,28.351524,26.532263,23.965961,15.073409,32.504707,37.637207,12.160425,22.788404,42.597126,19.857738,19.783989,31.731834,23.312931,21.714071,25.934101,28.388884,55.288937,60.396595,61.884293,60.089813,37.524982,57.788033,57.554344
4/29/2011,68.533363,27.501667,20.690323,50.143642,22.38884,23.790167,31.43232,35.384556,48.185406,19.037788,28.343113,26.539696,24.074707,15.104616,32.683121,37.70882,12.238883,23.078442,42.625519,20.126083,19.50672,31.898993,23.385738,21.789465,26.229179,28.478302,55.888573,60.953373,62.593018,60.881828,37.516682,58.227676,58.683842
5/2/2011,68.288071,28.205925,20.734251,49.661255,22.042906,23.668171,31.265713,35.460663,47.410469,18.808821,28.435633,26.591719,24.032885,15.143624,32.277622,37.816257,12.199656,23.078442,42.653923,19.966755,19.71875,31.703976,23.369558,21.744228,26.130817,28.448494,55.401909,61.545502,61.835976,60.731339,37.400509,58.178818,58.08588
5/3/2011,68.358154,27.822594,20.444321,49.136547,21.731565,23.546167,30.964245,34.952339,45.75211,18.519249,27.880543,26.287006,23.924135,14.925169,32.22897,37.816257,12.144736,23.119873,42.284744,19.983526,19.710596,31.606468,23.296757,21.382326,25.753775,27.92691,53.994053,60.343567,60.587658,59.028515,36.935799,55.760811,58.210449
5/4/2011,66.755196,27.742365,20.356464,49.288887,21.613947,23.302166,30.702438,36.442402,44.760197,18.061314,27.552536,26.041756,23.606264,14.800339,31.774811,37.744629,11.956446,23.037006,41.887169,19.790649,19.531187,31.300016,23.118797,20.899792,25.622627,27.777889,53.15976,59.13282,59.097733,57.919704,36.271935,55.418869,57.21384
5/5/2011,66.282173,27.760191,19.882036,48.307163,21.364872,22.936165,29.821831,35.718647,43.21032,17.78521,26.946985,25.410028,23.029074,14.730121,30.752949,37.458153,11.626938,22.630957,41.262417,19.36297,18.88694,30.394585,22.415037,20.673605,25.704594,27.12219,52.647034,58.478817,58.670891,56.319843,35.973202,54.702412,56.757057
