Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,38.000000,38.189999,37.820000,37.959999,30.115366,590000
2011-04-12,38.029999,38.250000,37.639999,37.959999,30.115366,255200
2011-04-13,38.279999,38.490002,37.950001,38.169998,30.281965,189800
2011-04-14,38.049999,38.529999,37.860001,38.509998,30.551712,451200
2011-04-15,38.259998,38.520000,38.029999,38.470001,30.519970,151600
2011-04-18,37.439999,37.439999,36.520000,37.060001,29.401356,302100
2011-04-19,37.369999,37.689999,37.290001,37.599998,29.829765,98900
2011-04-20,38.500000,38.630001,38.389999,38.549999,30.583439,114600
2011-04-21,38.650002,38.740002,38.430000,38.720001,30.718313,104600
2011-04-25,38.860001,38.860001,38.439999,38.770000,30.757975,167100
2011-04-26,39.080002,39.209999,38.779999,39.189999,31.091173,427200
2011-04-27,39.189999,39.700001,38.889999,39.650002,31.456120,236900
2011-04-28,39.349998,39.580002,39.189999,39.549999,31.376785,119100
2011-04-29,39.549999,39.770000,39.400002,39.619999,31.432320,91000
2011-05-02,39.639999,39.840000,39.250000,39.410000,31.265713,124000
2011-05-03,39.150002,39.590000,38.900002,39.029999,30.964245,224000
2011-05-04,39.450001,39.450001,38.660000,38.700001,30.702438,177000
2011-05-05,38.220001,38.220001,37.410000,37.590000,29.821831,100900
2011-05-06,37.990002,38.139999,36.900002,37.160000,29.480690,180500
2011-05-09,37.369999,37.430000,36.830002,37.430000,29.694893,193000
2011-05-10,37.270000,37.990002,37.180000,37.840000,30.020166,432500
2011-05-11,37.680000,37.689999,36.810001,37.070000,29.409294,153800
2011-05-12,36.990002,37.340000,36.709999,37.259998,29.560028,121000
2011-05-13,37.139999,37.139999,36.040001,36.369999,28.853949,114100
2011-05-16,36.830002,37.130001,36.610001,36.680000,29.099888,99400
2011-05-17,36.439999,36.730000,36.009998,36.700001,29.115753,52000
2011-05-18,36.959999,37.150002,36.720001,36.959999,29.322023,41700
2011-05-19,37.080002,37.529999,37.080002,37.389999,29.663157,147600
2011-05-20,37.279999,37.279999,36.759998,36.889999,29.266489,69900
2011-05-23,35.820000,35.959999,35.459999,35.790001,28.393812,186300
2011-05-24,36.299999,36.330002,36.049999,36.209999,28.727013,63600
2011-05-25,35.930000,36.639999,35.930000,36.549999,28.996752,617100
2011-05-26,36.840000,36.889999,36.209999,36.700001,29.115753,22000
2011-05-27,36.959999,37.220001,36.919998,37.160000,29.480690,51400
2011-05-31,38.160000,38.430000,37.900002,38.430000,30.488237,226900
2011-06-01,38.169998,38.240002,37.430000,37.520000,29.766296,754300
2011-06-02,38.060001,38.349998,37.799999,38.270000,30.361309,144800
2011-06-03,37.849998,38.549999,37.849998,38.340000,30.416840,85900
2011-06-06,38.259998,38.400002,37.680000,37.730000,29.932899,111600
2011-06-07,38.689999,38.919998,38.419998,38.619999,30.638979,57200
2011-06-08,38.160000,38.400002,38.060001,38.119999,30.242306,93500
2011-06-09,37.880001,38.259998,37.619999,38.090000,30.218500,47800
2011-06-10,37.700001,37.849998,37.189999,37.410000,29.679029,92800
2011-06-13,37.470001,37.660000,37.189999,37.450001,29.710758,47900
2011-06-14,37.779999,38.299999,37.779999,38.209999,30.313704,279900
2011-06-15,37.310001,37.450001,36.560001,36.689999,29.107817,240100
2011-06-16,36.380001,36.669998,36.000000,36.279999,28.782551,53500
2011-06-17,37.009998,37.090000,36.810001,36.930000,29.298216,48500
2011-06-20,36.770000,36.860001,36.529999,36.610001,29.044353,103900
2011-06-21,36.750000,37.040001,36.639999,36.930000,29.298216,38200
2011-06-22,36.419998,36.619999,36.169998,36.200001,28.908512,98000
2011-06-23,35.240002,35.759998,34.750000,35.750000,28.549156,167100
2011-06-24,35.720001,35.869999,35.470001,35.590000,28.421379,78600
2011-06-27,34.959999,35.689999,34.950001,35.660000,28.477285,90600
2011-06-28,35.500000,35.820000,35.330002,35.820000,28.605055,53900
2011-06-29,36.049999,36.540001,35.950001,36.459999,29.116148,33800
2011-06-30,36.369999,36.779999,36.299999,36.779999,29.371685,62000
2011-07-01,36.660000,37.290001,36.610001,37.279999,29.770977,403300
2011-07-05,37.099998,37.180000,36.720001,36.869999,29.443565,169400
2011-07-06,36.430000,36.430000,36.090000,36.150002,28.868582,137900
2011-07-07,36.860001,37.380001,36.790001,37.320000,29.802927,215200
2011-07-08,36.549999,36.740002,36.310001,36.639999,29.259890,107400
2011-07-11,35.410000,35.410000,34.660000,34.759998,27.758558,65200
2011-07-12,34.150002,34.520000,33.840000,33.840000,27.023872,789000
2011-07-13,34.540001,35.250000,34.410000,34.840000,27.822453,69800
2011-07-14,35.139999,35.270000,34.430000,34.459999,27.518988,69500
2011-07-15,34.700001,35.119999,34.480000,34.919998,27.886337,87000
2011-07-18,34.110001,34.150002,33.529999,33.830002,27.015884,181000
2011-07-19,34.110001,34.330002,33.970001,34.250000,27.351288,231600
2011-07-20,34.590000,34.660000,34.439999,34.549999,27.590862,92200
2011-07-21,34.880001,35.689999,34.770000,35.639999,28.461313,205500
2011-07-22,35.480000,35.750000,35.290001,35.580002,28.413401,55600
2011-07-25,35.099998,35.419998,35.070000,35.169998,28.085976,118600
2011-07-26,35.290001,35.650002,35.259998,35.439999,28.301592,78800
2011-07-27,35.150002,35.180000,34.349998,34.400002,27.471081,75400
2011-07-28,34.369999,35.000000,34.360001,34.660000,27.678705,70900
2011-07-29,34.660000,35.240002,34.520000,34.930000,27.894318,88100
2011-08-01,35.520000,35.580002,34.270000,34.660000,27.678705,79400
2011-08-02,34.150002,34.490002,33.480000,33.520000,26.768328,108800
