Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,63.279999,63.480000,62.700001,62.860001,48.712357,35300
2011-04-12,61.680000,62.080002,61.020000,61.180000,47.410469,67500
2011-04-13,61.560001,61.860001,61.080002,61.360001,47.549957,49500
2011-04-14,60.220001,60.619999,60.000000,60.560001,46.930008,56100
2011-04-15,60.840000,60.939999,60.380001,60.759998,47.084995,45100
2011-04-18,58.660000,58.660000,57.560001,58.320000,45.194157,44200
2011-04-19,58.980000,59.880001,58.980000,59.740002,46.294567,63300
2011-04-20,60.599998,61.119999,60.540001,61.080002,47.332970,91300
2011-04-21,61.480000,61.700001,61.000000,61.680000,47.797939,165800
2011-04-25,62.360001,62.360001,60.939999,61.299999,47.503464,21700
2011-04-26,60.680000,61.360001,60.419998,61.320000,47.518955,65600
2011-04-27,60.560001,61.660000,60.040001,61.500000,47.658447,81800
2011-04-28,60.820000,61.380001,60.500000,61.380001,47.565453,42600
2011-04-29,61.220001,68.260002,60.919998,62.180000,48.185406,32500
2011-05-02,62.080002,62.080002,61.099998,61.180000,47.410469,44000
2011-05-03,59.980000,59.980000,58.880001,59.040001,45.752110,11000
2011-05-04,58.840000,58.840000,57.459999,57.759998,44.760197,29500
2011-05-05,56.900002,57.040001,55.639999,55.759998,43.210320,101300
2011-05-06,57.480000,57.860001,56.599998,56.799999,44.016254,45800
2011-05-09,57.200001,57.540001,56.779999,57.400002,44.481213,48500
2011-05-10,57.740002,58.380001,57.439999,58.320000,45.194157,31000
2011-05-11,58.320000,58.320000,56.200001,56.680000,43.923264,55300
2011-05-12,55.959999,56.279999,55.400002,56.099998,43.473801,32000
2011-05-13,56.299999,56.500000,54.740002,55.060001,42.667873,25700
2011-05-16,54.860001,55.500000,54.660000,54.680000,42.373398,11300
2011-05-17,54.380001,54.880001,54.180000,54.720001,42.404392,41400
2011-05-18,55.279999,56.259998,54.840000,56.160000,43.520290,38000
2011-05-19,56.240002,56.380001,55.639999,56.020000,43.411812,17700
2011-05-20,55.279999,55.279999,54.639999,54.759998,42.435394,35200
2011-05-23,52.980000,53.259998,52.540001,52.900002,40.994015,37600
2011-05-24,53.820000,54.320000,53.740002,53.860001,41.737949,8200
2011-05-25,54.340000,55.259998,54.160000,55.099998,42.698872,24100
2011-05-26,54.959999,55.200001,54.660000,55.200001,42.776360,5500
2011-05-27,56.060001,56.860001,56.060001,56.860001,44.062748,13000
2011-05-31,57.639999,57.639999,57.099998,57.599998,44.636200,20700
2011-06-01,57.560001,57.639999,56.119999,56.380001,43.690788,37700
2011-06-02,57.060001,57.480000,56.759998,57.480000,44.543209,24000
2011-06-03,56.560001,56.900002,56.139999,56.619999,43.876770,26600
2011-06-06,56.939999,56.939999,56.040001,56.119999,43.489296,13300
2011-06-07,57.439999,58.200001,57.439999,57.799999,44.791195,22600
2011-06-08,57.939999,58.200001,57.619999,57.860001,44.837688,21300
2011-06-09,58.020000,59.320000,58.020000,59.259998,45.922592,41900
2011-06-10,58.320000,58.540001,57.919998,58.160000,45.070160,18000
2011-06-13,57.599998,58.160000,57.400002,57.480000,44.543209,77500
2011-06-14,58.020000,58.540001,58.020000,58.439999,45.287144,42400
2011-06-15,58.020000,58.020000,56.720001,57.040001,44.202244,42600
2011-06-16,56.740002,57.279999,56.680000,56.980000,44.155739,50900
2011-06-17,56.799999,56.880001,56.180000,56.340000,43.659786,31200
2011-06-20,56.000000,56.060001,55.639999,56.060001,43.442810,5400
2011-06-21,56.320000,57.020000,56.320000,56.980000,44.155739,11800
2011-06-22,55.799999,56.400002,55.799999,55.820000,43.787060,21700
2011-06-23,54.500000,55.060001,54.040001,55.060001,43.190884,34700
2011-06-24,55.419998,55.540001,54.720001,54.720001,42.924183,10800
2011-06-27,54.380001,55.299999,54.320000,55.279999,43.363468,25500
2011-06-28,55.599998,56.459999,55.520000,56.459999,44.289093,24700
2011-06-29,56.340000,57.040001,56.340000,56.720001,44.493050,22600
2011-06-30,56.700001,57.160000,56.619999,57.160000,44.838203,16300
2011-07-01,57.520000,58.060001,57.360001,57.919998,45.434372,20300
2011-07-05,57.820000,58.299999,57.720001,58.040001,45.528503,46900
2011-07-06,57.639999,57.820000,57.480000,57.700001,45.261791,25000
2011-07-07,58.820000,59.160000,58.700001,58.980000,46.265865,21900
2011-07-08,58.060001,58.360001,57.840000,58.360001,45.779518,10500
2011-07-11,56.980000,57.020000,56.619999,56.639999,44.430302,55100
2011-07-12,56.400002,57.000000,56.400002,56.720001,44.493050,58600
2011-07-13,56.480000,57.779999,56.480000,57.500000,45.104904,15000
2011-07-14,57.799999,57.900002,56.680000,56.700001,44.477360,35300
2011-07-15,57.480000,57.779999,57.360001,57.520000,45.120598,12300
2011-07-18,56.900002,56.900002,56.080002,56.540001,44.351849,49100
2011-07-19,56.860001,57.619999,56.860001,57.540001,45.136288,33800
2011-07-20,57.560001,57.560001,57.119999,57.320000,44.963711,27700
2011-07-21,57.700001,58.980000,57.700001,58.959999,46.250183,46400
2011-07-22,58.799999,58.980000,58.459999,58.860001,46.171741,22300
2011-07-25,58.119999,58.700001,58.119999,58.459999,45.857960,24200
2011-07-26,58.599998,59.639999,58.560001,59.299999,46.516888,44200
2011-07-27,59.080002,59.080002,58.299999,58.320000,45.748142,45400
2011-07-28,58.400002,58.820000,58.360001,58.459999,45.857960,47500
2011-07-29,57.700001,58.580002,57.439999,58.459999,45.857960,48900
2011-08-01,59.160000,59.220001,58.119999,58.619999,45.983471,11500
2011-08-02,58.000000,58.180000,56.840000,56.900002,44.634247,31400
2011-08-03,56.740002,56.919998,55.400002,56.240002,44.116524,24700
2011-08-04,54.639999,54.720001,52.680000,52.720001,41.355312,26300
2011-08-05,53.279999,53.619999,51.400002,52.639999,41.292564,24600
2011-08-08,49.259998,49.799999,44.480000,46.320000,36.334942,144200
2011-08-09,47.820000,48.240002,45.200001,48.180000,37.793987,45200
2011-08-10,46.840000,46.840000,44.020000,44.599998,34.985722,66400
2011-08-11,45.000000,47.459999,44.619999,47.200001,37.025246,23000
2011-08-12,47.820000,47.980000,46.419998,47.020000,36.884052,29700
2011-08-15,48.680000,49.200001,48.639999,49.139999,38.547039,54100
2011-08-16,48.139999,48.639999,47.480000,48.180000,37.793987,32900
2011-08-17,49.119999,49.560001,48.520000,48.840000,38.311718,40000
2011-08-18,47.540001,47.540001,45.439999,46.040001,36.115307,71700
2011-08-19,45.000000,46.560001,44.919998,45.700001,35.848598,41400
2011-08-22,47.099998,47.099998,45.799999,45.959999,36.052547,19900
2011-08-23,46.240002,47.820000,46.000000,47.820000,37.511593,31200
2011-08-24,47.080002,47.880001,46.919998,47.560001,37.307644,19600
2011-08-25,47.639999,48.119999,46.279999,46.500000,36.476143,22000
2011-08-26,46.680000,47.980000,46.380001,47.520000,37.276260,13900
2011-08-29,48.700001,49.380001,48.700001,49.299999,38.672550,16500
2011-08-30,49.099998,49.799999,48.880001,49.619999,38.923573,30200
2011-08-31,50.000000,50.599998,49.799999,49.919998,39.158905,22900
2011-09-01,49.820000,50.360001,49.660000,49.900002,39.143215,5500
2011-09-02,48.459999,48.939999,48.119999,48.200001,37.809677,21300
2011-09-06,46.980000,47.759998,46.720001,47.660000,37.386082,23200
2011-09-07,48.720001,49.380001,48.520000,49.299999,38.672550,9400
2011-09-08,48.459999,49.200001,48.459999,48.540001,38.076393,11600
2011-09-09,47.560001,47.619999,46.259998,46.439999,36.429081,81800
2011-09-12,45.380001,46.279999,45.220001,46.279999,36.303577,16600
2011-09-13,46.020000,46.240002,45.400002,45.799999,35.927036,105200
2011-09-14,45.939999,46.639999,45.180000,45.900002,36.005486,62000
2011-09-15,46.779999,46.919998,46.040001,46.360001,36.366322,26000
2011-09-16,46.139999,46.299999,45.580002,45.860001,35.974102,38800
2011-09-19,44.619999,44.939999,44.220001,44.799999,35.142609,25300
2011-09-20,44.700001,45.240002,44.459999,44.700001,35.064167,29100
2011-09-21,44.599998,44.779999,42.980000,43.000000,33.730621,81800
2011-09-22,40.700001,40.700001,37.980000,38.360001,30.090857,86600
2011-09-23,38.560001,39.180000,38.180000,38.720001,30.373251,50200
2011-09-26,38.820000,39.639999,38.180000,39.599998,31.063557,23000
2011-09-27,40.939999,41.480000,40.459999,40.580002,31.832296,83100
2011-09-28,40.540001,40.660000,38.880001,38.880001,30.498764,42900
2011-09-29,40.900002,41.240002,39.980000,40.459999,31.738167,27500
2011-09-30,38.880001,39.180000,37.720001,37.720001,29.588821,30800
2011-10-03,37.720001,38.259998,37.000000,37.000000,29.024027,53700
2011-10-04,35.880001,36.639999,34.980000,36.560001,28.678877,54700
2011-10-05,35.820000,36.520000,35.439999,36.439999,28.584745,35000
2011-10-06,36.880001,38.459999,36.880001,38.439999,30.153614,243800
2011-10-07,39.119999,39.279999,38.000000,38.200001,29.965351,93300
2011-10-10,39.779999,40.680000,39.639999,40.680000,31.910744,143100
2011-10-11,39.400002,40.419998,39.400002,40.099998,31.455776,34500
2011-10-12,41.500000,42.139999,41.279999,41.660000,32.679482,37800
2011-10-13,41.200001,41.500000,40.720001,41.419998,32.491230,11400
2011-10-14,42.660000,43.160000,42.599998,43.160000,33.856136,7500
2011-10-17,42.240002,42.240002,41.520000,41.520000,32.569660,14700
2011-10-18,42.060001,43.040001,41.680000,43.040001,33.762001,38100
2011-10-19,42.040001,43.000000,41.799999,42.020000,32.961884,586700
2011-10-20,41.700001,41.980000,41.320000,41.860001,32.836376,55600
2011-10-21,42.779999,43.480000,42.779999,43.480000,34.107155,4700
2011-10-24,44.259998,45.660000,44.259998,45.400002,35.613270,16900
2011-10-25,44.840000,44.840000,44.139999,44.400002,34.828838,31300
