Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,33.630001,33.669998,33.380001,33.439999,24.852631,128100
2011-04-12,33.090000,33.139999,32.639999,32.770000,24.354687,699600
2011-04-13,33.320000,33.450001,32.959999,33.119999,24.614805,204600
2011-04-14,32.959999,33.439999,32.910000,33.389999,24.815472,129000
2011-04-15,33.209999,33.410000,33.070000,33.299999,24.748585,250900
2011-04-18,32.570000,32.590000,31.920000,32.259998,23.975653,173800
2011-04-19,33.009998,33.099998,32.759998,33.040001,24.555351,154900
2011-04-20,33.970001,34.320000,33.930000,34.240002,25.447193,198700
2011-04-21,34.320000,34.490002,34.240002,34.400002,25.566103,210500
2011-04-25,34.529999,34.570000,34.290001,34.470001,25.618128,89600
2011-04-26,34.700001,34.880001,34.610001,34.799999,25.863380,276600
2011-04-27,34.990002,35.580002,34.910000,35.540001,26.413353,252000
2011-04-28,35.310001,35.730000,35.299999,35.700001,26.532263,477000
2011-04-29,35.830002,35.900002,35.709999,35.709999,26.539696,264000
2011-05-02,35.900002,36.139999,35.770000,35.779999,26.591719,564000
2011-05-03,35.299999,35.660000,35.189999,35.369999,26.287006,444700
2011-05-04,35.490002,35.490002,34.880001,35.040001,26.041756,583800
2011-05-05,34.660000,34.799999,34.049999,34.189999,25.410028,225000
2011-05-06,34.700001,34.779999,33.610001,33.900002,25.194504,344300
2011-05-09,34.259998,34.540001,34.099998,34.459999,25.610691,185000
2011-05-10,34.720001,35.090000,34.619999,35.040001,26.041756,312200
2011-05-11,34.810001,34.880001,34.130001,34.250000,25.454622,276300
2011-05-12,34.250000,34.740002,34.090000,34.560001,25.685015,326000
2011-05-13,34.450001,34.480000,33.610001,33.810001,25.127615,288800
2011-05-16,33.950001,34.590000,33.950001,34.200001,25.417463,195600
2011-05-17,33.939999,34.209999,33.720001,34.189999,25.410028,524500
2011-05-18,34.119999,34.439999,34.049999,34.360001,25.536375,100700
2011-05-19,34.630001,34.919998,34.470001,34.820000,25.878250,119100
2011-05-20,34.680000,34.820000,34.230000,34.459999,25.610691,167100
2011-05-23,33.360001,33.459999,33.049999,33.310001,24.756016,226400
2011-05-24,33.549999,33.680000,33.119999,33.240002,24.703995,234800
2011-05-25,33.349998,33.939999,33.349998,33.759998,25.090456,177900
2011-05-26,33.820000,33.950001,33.430000,33.869999,25.172205,186600
2011-05-27,33.919998,34.340000,33.919998,34.189999,25.410028,187800
2011-05-31,34.869999,34.939999,34.610001,34.860001,25.907972,276100
2011-06-01,34.939999,34.990002,34.049999,34.049999,25.305983,791500
2011-06-02,34.330002,34.419998,33.889999,34.369999,25.543806,301000
2011-06-03,33.939999,34.599998,33.910000,34.349998,25.528944,390100
