Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,23.549999,23.590000,23.440001,23.500000,19.706789,113500
2011-04-12,23.410000,23.459999,23.180000,23.230000,19.480373,1263000
2011-04-13,23.500000,23.520000,23.209999,23.280001,19.522306,88200
2011-04-14,23.129999,23.320000,23.070000,23.299999,19.539072,106500
2011-04-15,23.090000,23.190001,23.000000,23.110001,19.379742,112300
2011-04-18,22.490000,22.540001,22.209999,22.490000,18.859818,106800
2011-04-19,22.580000,22.680000,22.510000,22.639999,18.985607,129800
2011-04-20,23.219999,23.309999,23.190001,23.270000,19.513914,73800
2011-04-21,23.309999,23.309999,23.160000,23.200001,19.455219,40400
2011-04-25,23.320000,23.340000,23.190001,23.290001,19.530689,186500
2011-04-26,23.379999,23.469999,23.309999,23.410000,19.631317,739000
2011-04-27,23.530001,23.820000,23.379999,23.780001,19.941593,108100
2011-04-28,23.559999,23.750000,23.540001,23.680000,19.857738,112400
2011-04-29,23.719999,24.000000,23.700001,24.000000,20.126083,55000
2011-05-02,23.920000,24.040001,23.790001,23.809999,19.966755,188000
2011-05-03,23.780001,23.950001,23.639999,23.830000,19.983526,373600
2011-05-04,23.910000,23.910000,23.549999,23.600000,19.790649,126000
2011-05-05,23.309999,23.309999,22.990000,23.090000,19.362970,104800
2011-05-06,23.360001,23.430000,22.770000,22.900000,19.203640,199000
2011-05-09,22.879999,22.990000,22.730000,22.990000,19.279110,155000
2011-05-10,23.110001,23.350000,23.110001,23.330000,19.564230,104900
2011-05-11,23.260000,23.280001,22.830000,22.959999,19.253954,107600
2011-05-12,22.840000,23.110001,22.750000,23.040001,19.321043,101000
2011-05-13,22.920000,22.969999,22.450001,22.620001,18.968834,156000
2011-05-16,22.469999,22.709999,22.379999,22.450001,18.826277,122800
2011-05-17,22.340000,22.490000,22.190001,22.410000,18.792732,165800
2011-05-18,22.320000,22.570000,22.299999,22.480000,18.851431,59300
2011-05-19,22.590000,22.770000,22.490000,22.730000,19.061079,78500
2011-05-20,22.540001,22.540001,22.110001,22.270000,18.675325,142100
2011-05-23,21.650000,21.770000,21.580000,21.709999,18.205723,84900
2011-05-24,21.840000,21.889999,21.690001,21.750000,18.239264,38200
2011-05-25,21.719999,21.969999,21.690001,21.910000,18.373438,20700
2011-05-26,22.049999,22.070000,21.770000,22.040001,18.482460,201800
2011-05-27,22.170000,22.270000,22.139999,22.180000,18.599855,156500
2011-05-31,22.700001,22.740000,22.530001,22.719999,19.052696,161900
2011-06-01,22.549999,22.610001,22.139999,22.200001,18.616629,48600
2011-06-02,22.379999,22.440001,22.170000,22.379999,18.767574,86200
2011-06-03,22.180000,22.610001,22.180000,22.480000,18.851431,167400
2011-06-06,22.410000,22.440001,22.150000,22.150000,18.574696,89000
2011-06-07,22.469999,22.580000,22.379999,22.379999,18.767574,63200
2011-06-08,22.139999,22.139999,21.889999,21.940001,18.398596,47400
2011-06-09,21.870001,22.120001,21.850000,22.030001,18.474070,38400
2011-06-10,21.840000,21.850000,21.370001,21.410000,17.954145,96000
2011-06-13,21.490000,21.610001,21.330000,21.469999,18.004463,85600
2011-06-14,21.770000,21.950001,21.770000,21.879999,18.348282,81300
2011-06-15,21.430000,21.440001,21.000000,21.070000,17.669027,103100
2011-06-16,20.930000,21.090000,20.780001,20.969999,17.585163,147500
2011-06-17,21.340000,21.430000,21.230000,21.370001,17.920599,286900
2011-06-20,21.180000,21.309999,21.180000,21.280001,17.845131,55800
2011-06-21,21.480000,21.730000,21.480000,21.730000,18.222490,60100
2011-06-22,20.990000,21.139999,20.920000,20.950001,17.910454,23200
2011-06-23,20.420000,20.629999,20.280001,20.629999,17.636877,107600
2011-06-24,20.520000,20.540001,20.320000,20.360001,17.406052,92000
2011-06-27,20.320000,20.600000,20.270000,20.559999,17.577028,86100
2011-06-28,20.570000,20.750000,20.559999,20.709999,17.705271,27800
2011-06-29,20.980000,21.160000,20.879999,21.120001,18.055786,126500
2011-06-30,21.280001,21.600000,21.260000,21.559999,18.431948,213400
2011-07-01,21.510000,21.850000,21.459999,21.850000,18.679874,34900
2011-07-05,21.700001,21.740000,21.530001,21.570000,18.440493,67100
2011-07-06,21.320000,21.350000,21.200001,21.309999,18.218218,71000
2011-07-07,21.440001,21.600000,21.440001,21.510000,18.389204,157900
2011-07-08,21.350000,21.370001,21.090000,21.200001,18.124180,84100
2011-07-11,20.440001,20.450001,20.230000,20.260000,17.320559,58800
2011-07-12,20.010000,20.160000,19.910000,19.950001,17.055532,229900
2011-07-13,20.059999,20.379999,19.969999,20.170000,17.243618,69700
2011-07-14,20.320000,20.350000,19.969999,20.000000,17.098282,29700
2011-07-15,20.090000,20.120001,19.930000,20.010000,17.106831,90200
2011-07-18,19.680000,19.680000,19.410000,19.610001,16.764866,108100
2011-07-19,19.790001,19.959999,19.780001,19.910000,17.021339,40000
2011-07-20,20.190001,20.290001,20.120001,20.270000,17.329107,31100
2011-07-21,20.750000,21.020000,20.700001,21.000000,17.953196,93800
2011-07-22,20.990000,21.040001,20.860001,21.020000,17.970295,34000
