Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,37.259998,37.400002,37.040001,37.160000,27.688478,391100
2011-04-12,36.779999,36.799999,36.360001,36.459999,27.166899,707900
2011-04-13,36.900002,36.959999,36.520000,36.599998,27.271215,1118200
2011-04-14,36.540001,36.880001,36.439999,36.700001,27.345720,1379500
2011-04-15,36.720001,36.860001,36.580002,36.720001,27.360626,2251500
2011-04-18,36.080002,36.139999,35.560001,36.060001,26.868855,1171600
2011-04-19,36.139999,36.299999,36.060001,36.220001,26.988073,661800
2011-04-20,37.060001,37.200001,37.020000,37.139999,27.673574,809700
2011-04-21,37.480000,37.500000,37.299999,37.439999,27.897108,312100
2011-04-25,37.360001,37.380001,37.180000,37.320000,27.807697,160100
2011-04-26,37.340000,37.680000,37.299999,37.639999,28.046129,1450000
2011-04-27,37.900002,38.240002,37.639999,38.160000,28.433596,522800
2011-04-28,37.980000,38.240002,37.959999,38.099998,28.388884,1635900
2011-04-29,38.220001,38.360001,38.060001,38.220001,28.478302,659100
2011-05-02,38.380001,38.439999,38.119999,38.180000,28.448494,592600
2011-05-03,37.680000,37.880001,37.340000,37.480000,27.926910,1067100
2011-05-04,37.480000,37.520000,37.139999,37.279999,27.777889,445400
2011-05-05,36.759998,36.860001,36.139999,36.400002,27.122190,7551900
2011-05-06,36.740002,36.939999,36.259998,36.459999,27.166899,2327000
2011-05-09,36.400002,36.740002,36.240002,36.680000,27.330816,870600
2011-05-10,36.799999,37.180000,36.779999,37.139999,27.673574,1203500
2011-05-11,37.139999,37.160000,36.439999,36.700001,27.345720,1337300
2011-05-12,36.419998,36.779999,36.200001,36.599998,27.271215,314500
2011-05-13,36.540001,36.599998,35.900002,36.180000,26.958263,711000
2011-05-16,35.980000,36.360001,35.900002,36.040001,26.853952,1365000
2011-05-17,35.959999,36.180000,35.759998,36.139999,26.928457,1048200
2011-05-18,36.000000,36.419998,35.939999,36.380001,27.107286,525800
2011-05-19,36.580002,36.660000,36.340000,36.619999,27.286110,520000
2011-05-20,36.580002,36.700001,36.220001,36.459999,27.166899,596100
2011-05-23,35.560001,35.680000,35.340000,35.520000,26.466488,1262400
2011-05-24,35.820000,35.959999,35.619999,35.680000,26.585705,396900
2011-05-25,35.720001,36.240002,35.720001,36.099998,26.898653,533100
2011-05-26,36.299999,36.660000,36.160000,36.540001,27.226505,362900
2011-05-27,36.779999,36.980000,36.720001,36.900002,27.494751,531600
2011-05-31,37.279999,37.340000,36.959999,37.320000,27.807697,667900
2011-06-01,37.040001,37.080002,36.240002,36.299999,27.047680,865100
2011-06-02,36.380001,36.480000,36.040001,36.360001,27.092388,585800
2011-06-03,35.900002,36.580002,35.880001,36.439999,27.151989,2935100
2011-06-06,36.459999,36.520000,36.040001,36.139999,26.928457,856600
2011-06-07,36.560001,36.779999,36.439999,36.459999,27.166899,2902000
2011-06-08,36.139999,36.259998,35.939999,36.060001,26.868855,1125000
2011-06-09,36.099998,36.540001,36.080002,36.480000,27.181803,688700
2011-06-10,36.060001,36.060001,35.380001,35.459999,26.421782,1538000
2011-06-13,35.720001,35.840000,35.419998,35.660000,26.570807,1101800
2011-06-14,36.060001,36.259998,36.020000,36.060001,26.868855,564200
2011-06-15,35.480000,35.560001,34.919998,35.040001,26.108835,911000
2011-06-16,34.700001,34.939999,34.459999,34.700001,25.855495,528000
