Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,79.459999,79.709999,78.309998,78.470001,63.197041,8453200
2011-04-12,77.820000,77.919998,76.330002,76.680000,61.755444,18670400
2011-04-13,77.370003,77.440002,75.550003,76.269997,61.425224,19279400
2011-04-14,76.150002,77.199997,76.019997,76.500000,61.610493,11838600
2011-04-15,76.959999,77.269997,76.150002,77.110001,62.101746,11629800
2011-04-18,75.709999,75.830002,74.550003,75.620003,60.901764,15768200
2011-04-19,76.309998,77.070000,76.199997,76.650002,61.731285,12206700
2011-04-20,78.029999,78.190002,77.339996,78.040001,62.850735,11632900
2011-04-21,78.739998,78.870003,77.949997,78.599998,63.301716,4345800
2011-04-25,78.220001,78.559998,77.699997,78.169998,62.955429,8253200
2011-04-26,78.199997,78.980003,77.980003,78.830002,63.486977,9004800
2011-04-27,78.930000,78.949997,77.099998,77.889999,62.729923,13077700
2011-04-28,76.389999,76.959999,76.010002,76.839996,61.884293,19074100
2011-04-29,76.910004,78.809998,76.900002,77.720001,62.593018,9600000
2011-05-02,77.849998,77.889999,76.540001,76.779999,61.835976,10637500
2011-05-03,75.860001,76.250000,74.930000,75.230003,60.587658,15512700
2011-05-04,75.550003,75.570000,73.250000,73.379997,59.097733,20418400
2011-05-05,73.360001,74.089996,72.089996,72.849998,58.670891,21986100
2011-05-06,74.339996,74.900002,73.129997,74.019997,59.613171,20499300
2011-05-09,74.110001,74.430000,73.160004,74.300003,59.838676,12004800
2011-05-10,74.559998,75.160004,74.330002,74.989998,60.394356,9495100
2011-05-11,74.029999,74.040001,72.709999,73.050003,58.831959,16749700
2011-05-12,72.449997,73.620003,71.870003,73.110001,58.880287,16662600
2011-05-13,72.949997,72.980003,71.070000,71.580002,57.648067,16618500
2011-05-16,71.269997,72.830002,71.160004,71.559998,57.631966,12538600
2011-05-17,71.110001,72.779999,70.830002,72.739998,58.582306,20473000
2011-05-18,72.949997,73.610001,72.400002,72.750000,58.590347,14880000
2011-05-19,72.860001,73.129997,71.680000,71.910004,57.913841,13958800
2011-05-20,71.989998,72.680000,71.349998,71.930000,57.929962,14074200
2011-05-23,70.339996,71.339996,70.190002,70.940002,57.132641,16134700
2011-05-24,71.849998,72.410004,71.680000,72.169998,58.123230,9181700
2011-05-25,71.809998,72.690002,71.739998,72.070000,58.042709,9944700
2011-05-26,72.629997,73.440002,72.099998,73.410004,59.121906,10503100
2011-05-27,73.980003,74.750000,73.900002,74.339996,59.870880,12709400
2011-05-31,75.260002,75.339996,74.209999,75.220001,60.579620,15201200
2011-06-01,74.930000,75.120003,73.519997,73.650002,59.315174,13138900
2011-06-02,73.930000,74.849998,73.489998,74.650002,60.120548,16537400
2011-06-03,74.050003,75.639999,73.949997,74.900002,60.321892,13695200
2011-06-06,74.500000,74.699997,72.779999,73.089996,58.864178,17476400
2011-06-07,73.650002,74.150002,73.220001,73.309998,59.041355,12361300
2011-06-08,73.290001,73.620003,72.580002,73.010002,58.799751,11550100
2011-06-09,72.949997,73.870003,72.629997,73.400002,59.113842,11226000
2011-06-10,73.080002,73.089996,71.900002,72.169998,58.123230,11846100
2011-06-13,72.410004,72.839996,71.690002,71.910004,57.913841,15970000
2011-06-14,72.400002,73.080002,72.339996,72.680000,58.533981,13493900
2011-06-15,71.739998,72.169998,71.120003,71.449997,57.543365,19203900
2011-06-16,70.989998,71.709999,69.870003,70.570000,56.834660,17939700
2011-06-17,71.279999,71.370003,70.360001,70.889999,57.092384,17667600
2011-06-20,70.809998,71.540001,70.699997,71.250000,57.382313,12856300
2011-06-21,71.430000,72.040001,71.300003,71.730003,57.768890,12053600
2011-06-22,70.589996,71.519997,70.589996,70.750000,57.853916,13128800
2011-06-23,69.610001,70.239998,69.040001,69.820000,57.093452,15026600
2011-06-24,70.550003,70.599998,69.559998,69.570000,56.889008,10101000
2011-06-27,69.440002,70.589996,69.330002,70.430000,57.592243,8316900
2011-06-28,70.529999,72.269997,70.489998,72.269997,59.096859,12959500
2011-06-29,72.269997,72.949997,71.790001,72.849998,59.571144,11659300
2011-06-30,73.360001,73.459999,72.919998,73.349998,59.979996,10405800
2011-07-01,73.260002,74.650002,72.900002,74.160004,60.642365,14815400
2011-07-05,74.330002,74.449997,73.650002,73.889999,60.421574,11000300
2011-07-06,73.339996,73.620003,72.830002,73.239998,59.890034,12057400
2011-07-07,73.919998,74.220001,73.300003,73.500000,60.102657,13649800
2011-07-08,72.669998,72.860001,71.730003,72.150002,58.998726,23231100
2011-07-11,70.739998,70.940002,69.959999,70.050003,57.281517,14295200
2011-07-12,70.150002,70.720001,69.419998,69.449997,56.790882,15521700
2011-07-13,70.059998,71.220001,69.680000,70.629997,57.755795,15443500
